Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Vanguard ftse emerging markets etf,VWO,"",68962380.0,3166063000.0,25.9197,25.8219,1,-19380038.0,-21.93741,reduction,No Data,Q4 2009,FINANCE,"","",40.117
Spdr s&p 500 etf trust,SPY,"",9466201.0,2526150000.0,20.6809,15.9832,2,-17130.0,-0.180633,reduction,No Data,Q4 2007,FINANCE,"","",143.5081
Ishares msci emerging index fund,EEM,"",32615729.0,1536853000.0,12.5818,19.6718,3,-32823279.0,-50.158583,reduction,No Data,Q1 2010,FINANCE,"","",40.3273
Ishares core msci emerging markets etf,IEMG,"",15553096.0,884971000.0,7.245,8.9849,4,-9239675.0,-37.267617,reduction,No Data,Q3 2016,FINANCE,"","",51.3318
Spdr gold trust,GLD,"",3908999.0,483348000.0,3.957,3.1768,5,14091.0,0.36178,addition,No Data,Q2 2017,MATERIALS,"","",121.0618
Ishares msci brazil capped etf,EWZ,"",7727872.0,312592000.0,2.5591,1.9028,6,924497.0,13.5888,addition,No Data,Q1 2016,FINANCE,"","",32.9384
Ishares iboxx investment grade corporate bond fund,LQD,"",2474272.0,300773000.0,2.4623,1.9697,7,52310.0,2.159819,addition,No Data,Q4 2010,FINANCE,"","",118.6841
Ishares 20+ year treasury bond etf,TLT,"",2114274.0,268217000.0,2.1958,1.7534,8,19345.0,0.92342,addition,No Data,Q2 2017,FINANCE,"","",124.9047
Ishares tips bond etf,TIP,"",1940184.0,221336000.0,1.812,1.4734,9,6440.0,0.333033,addition,No Data,Q2 2017,FINANCE,"","",113.4863
Ishares iboxx $ high yield corp bond etf,HYG,"",2528084.0,220601000.0,1.806,1.4004,10,176255.0,7.49438,addition,No Data,Q2 2016,FINANCE,"","",88.3926
Ishares core s&p 500 etf,IVV,"",811273.0,218111000.0,1.7856,1.3858,11,-5450.0,-0.667301,reduction,No Data,Q3 2010,FINANCE,"","",220.7278
Ishares jp morgan usd emerging markets b,EMB,"",1779997.0,206658000.0,1.6919,1.3875,12,3438.0,0.19352,addition,No Data,Q2 2017,FINANCE,"","",115.6333
Vanguard ftse developed markets etf,VEA,"",3866359.0,173445000.0,1.4199,1.126,13,0.0,0.0,,No Data,Q2 2017,FINANCE,"","",42.6547
Ishares msci eafe index fund,EFA,"",2448346.0,172143000.0,1.4093,1.1248,14,0.0,0.0,,No Data,Q2 2017,FINANCE,"","",67.2996
Ishares core msci eafe etf,IEFA,"",2386694.0,157737000.0,1.2914,1.0274,15,0.0,0.0,,No Data,Q2 2017,FINANCE,"","",63.0178
Ishares gold trust,IAU,"",11315785.0,141560000.0,1.1589,0.9316,16,34792.0,0.308413,addition,No Data,Q2 2017,MATERIALS,"","",12.2098
Pg&e corp. (pacific gas & electric),PCG,"",846531.0,37950000.0,0.3107,,17,846531.0,,new,0.1645603,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,"","",44.83
Ishares msci taiwan capped etf,EWT,"",980509.0,35504000.0,0.2907,0.2379,18,-1862.0,-0.189541,reduction,No Data,Q2 2017,FINANCE,"","",35.76
Ishares msci south korea capped etf,EWY,"",446669.0,33469000.0,0.274,0.4178,19,-455220.0,-50.474061,reduction,No Data,Q3 2016,FINANCE,"","",55.841
Cvs health corp. (melville shoe),CVS,"",420695.0,30500000.0,0.2497,,20,420695.0,,new,0.0415300,Q4 2017,CONSUMER STAPLES,"","",72.5
Celgene corp.,CELG,"",290776.0,30345000.0,0.2484,0.0834,21,205490.0,240.942241,addition,0.0369324,Q1 2016,HEALTH CARE,"","",113.519
Cardinal health  inc.,CAH,"",475692.0,29146000.0,0.2386,,22,475692.0,,new,0.1512053,Q4 2017,HEALTH CARE,"","",61.27
Walgreens boots alliance inc.,WBA,"",393897.0,28605000.0,0.2342,0.0574,23,283004.0,255.204567,addition,0.0397731,Q1 2017,CONSUMER STAPLES,"","",74.331
Gamestop corp.  class a,GME,"",1477511.0,26521000.0,0.2171,0.1789,24,187015.0,14.491715,addition,1.4584059,Q3 2016,CONSUMER DISCRETIONARY,"","",23.4387
Southwestern energy co.,SWN,"",4496246.0,25089000.0,0.2054,0.161,25,569383.0,14.499691,addition,0.7654097,Q3 2016,ENERGY,"","",7.9742
Bed bath & beyond inc.,BBBY,"",1111621.0,24445000.0,0.2001,0.2104,26,-224433.0,-16.798198,reduction,0.7805779,Q2 2014,CONSUMER DISCRETIONARY,"","",34.1093
Cliffs natural resources inc.,CLF,"",3326102.0,23981000.0,0.1963,0.133,27,553957.0,19.982973,addition,1.1217504,Q1 2017,MATERIALS,"","",7.6194
Alliance data systems corp,ADS,"",83703.0,21217000.0,0.1737,0.1953,28,-47710.0,-36.305388,reduction,0.1514986,Q3 2015,INFORMATION TECHNOLOGY,"","",220.0552
Ppl corp. (pennsylvania power & light),PPL,"",676739.0,20945000.0,0.1715,,29,676739.0,,new,0.0982975,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,"","",30.95
Micron technology  inc.,MU,"",484884.0,19938000.0,0.1632,0.0264,30,384901.0,384.966444,addition,0.0419334,Q1 2017,INFORMATION TECHNOLOGY,"","",40.7509
Kimberly-clark corp.,KMB,"",154265.0,18614000.0,0.1524,0.1064,31,19495.0,14.465385,addition,0.0439376,Q3 2017,CONSUMER STAPLES,"","",118.0566
Endo international plc,ENDP,"",2122848.0,16452000.0,0.1347,0.1133,32,150629.0,7.637539,addition,0.9506283,Q3 2016,HEALTH CARE,"","",12.556
Edison international (southern california edison),EIX,"",255910.0,16184000.0,0.1325,,33,255910.0,,new,0.0785458,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,"","",63.24
Freeport-mcmoran copper & gold  inc,FCX,"",844766.0,16017000.0,0.1311,0.0932,34,-145100.0,-14.65855,reduction,0.0585018,Q1 2012,MATERIALS,"","",12.3962
Costco co.,COST,"",83954.0,15626000.0,0.1279,0.0187,35,67017.0,395.684005,addition,0.0191135,Q3 2017,CONSUMER STAPLES,"","",181.716
Chipotle mexican grill  inc.,CMG,"",49401.0,14278000.0,0.1169,,36,49401.0,,new,0.1749947,Q2 2017,CONSUMER DISCRETIONARY,"","",289.03
Royal bank of canada (nyse),RY,"",172551.0,14137000.0,0.1157,0.1516,37,-120137.0,-41.046097,reduction,0.0118353,Q2 2017,FINANCE,"","",72.52
United therapeutics corp,UTHR,"",93723.0,13866000.0,0.1135,0.0729,38,953.0,1.027272,addition,0.2169012,Q4 2015,HEALTH CARE,"","",124.9538
Western union co (the),WU,"",684822.0,13018000.0,0.1066,0.0905,39,-17745.0,-2.525738,reduction,0.1491045,Q1 2014,FINANCE,"","",19.1592
Toronto-dominion bank (the),TD,"",217556.0,12788000.0,0.1047,0.1394,40,-152260.0,-41.171826,reduction,0.0117688,Q2 2017,FINANCE,"","",50.38
Tjx companies inc.,TJX,"",322304.0,12322000.0,0.1009,0.0752,41,18164.0,5.97225,addition,0.0253276,Q3 2016,CONSUMER DISCRETIONARY,"","",74.4295
Oracle corp,ORCL,"",258428.0,12218000.0,0.1,,42,258428.0,,new,0.0062428,Q1 2009,INFORMATION TECHNOLOGY,"","",47.28
Ross stores inc. (de),ROST,"",142572.0,11441000.0,0.0937,0.0902,43,-65578.0,-31.505165,reduction,0.0369750,Q3 2016,CONSUMER DISCRETIONARY,"","",61.7401
Procter & gamble co. (oh) (1905),PG,"",119531.0,10983000.0,0.0899,,44,119531.0,,new,0.0047414,Q2 2017,CONSUMER STAPLES,"","",91.88
Lululemon athletica inc.,LULU,"",139546.0,10967000.0,0.0898,0.0028,45,132747.0,1952.44889,addition,0.1030773,Q4 2016,CONSUMER DISCRETIONARY,"","",77.6572
Lilly (eli) & co.,LLY,"",123940.0,10468000.0,0.0857,,46,123940.0,,new,0.0112560,Q4 2015,HEALTH CARE,"","",84.46
Transocean ltd,RIG,"",979945.0,10466000.0,0.0857,0.1271,47,-780768.0,-44.343854,reduction,0.2504716,Q1 2017,ENERGY,"","",10.76
Interpublic group of companies inc (the),IPG,"",510707.0,10296000.0,0.0843,,48,510707.0,,new,0.1314189,Q4 2016,COMMUNICATIONS,"","",20.16
Bank of nova scotia (nyse) adr,BNS,"",154693.0,10015000.0,0.082,0.1094,49,-99625.0,-39.173397,reduction,0.0129103,Q2 2017,FINANCE,"","",60.13
Ecolab inc.,ECL,"",74554.0,10004000.0,0.0819,0.0528,50,13406.0,21.923857,addition,0.0258053,Q3 2017,MATERIALS,"","",129.6116
Martin marietta materials inc.,MLM,"",44856.0,9915000.0,0.0812,,51,44856.0,,new,0.0713586,Q4 2017,MATERIALS,"","",221.04
Viacomcbs inc. class b,VIAC,"",162176.0,9568000.0,0.0783,0.041,52,56748.0,53.826308,addition,0.0423436,Q4 2016,COMMUNICATIONS,"","",59.1174
Suncor energy  inc.,SU,"",255826.0,9423000.0,0.0771,0.096,53,-153545.0,-37.507542,reduction,0.0154591,Q1 2011,ENERGY,"","",28.8236
Pepsico inc. (loft  inc.),PEP,"",75499.0,9054000.0,0.0741,0.065,54,-11409.0,-13.127675,reduction,0.0053088,Q2 2017,CONSUMER STAPLES,"","",111.7845
Devon energy corp.,DVN,"",218491.0,9046000.0,0.0741,0.1357,55,-332411.0,-60.339407,reduction,0.0416173,Q1 2013,ENERGY,"","",39.9445
Firstenergy corp.,FE,"",283237.0,8673000.0,0.071,0.0427,56,76970.0,37.315712,addition,0.0636688,Q3 2015,UTILITIES AND TELECOMMUNICATIONS,"","",30.3924
Merck & co,MRK,"",153206.0,8621000.0,0.0706,,57,153206.0,,new,0.0056234,Q2 2017,HEALTH CARE,"","",56.27
At&t inc. (southwestern bell - sbc corp.),T,"",215233.0,8368000.0,0.0685,0.0833,58,-101873.0,-32.125851,reduction,0.0035060,Q1 2017,UTILITIES AND TELECOMMUNICATIONS,"","",39.0361
Alexion pharmaceuticals inc.,ALXN,"",65212.0,7799000.0,0.0638,0.1105,59,-52206.0,-44.461667,reduction,0.0291894,Q1 2017,HEALTH CARE,"","",139.252
Dish network corp  class a,DISH,"",159451.0,7614000.0,0.0623,0.0192,60,106667.0,202.08207,addition,0.0341825,Q1 2016,COMMUNICATIONS,"","",49.8951
Canadian natural resources  ltd,CNQ,"",211927.0,7598000.0,0.0622,0.0707,61,-103382.0,-32.78752,reduction,0.0173976,Q2 2011,ENERGY,"","",29.9759
